"civ_name","civ_id","tot_pop_race","pop_nonwhite","tot_pop_income","pop_in_poverty","pct_nonwhite","pct_in_poverty"
"Glebewood",49,460.029934577315,236.72326458396,460.029934577315,181.044139521201,51.4582306043772,39.3548606108749
"Glencarlyn",47,2148.46251132187,605.055925449622,2011.22243619574,344.118478547545,28.162275220588,17.1099164545147
"Green Valley",21,4648.68469437666,2087.53246360383,4626.48978909866,672.712411044717,44.90587339961,14.5404494921792
"Gulf Branch",2,347.202543985877,52.3479972042055,284.711849528818,1.707229089648,15.0770776628684,0.599634013292167
"Highland Park - Overlee Knolls",37,1833.20650917008,264.202866854574,1833.20650917008,63.0296989001717,14.4120624453916,3.43822142158476
"John M Langston",36,1946.9636263547,812.110893551458,1945.68912470264,184.568620592348,41.7116623319755,9.48602827908365
"Leeway Overlee",16,2386.83150876801,254.921018112038,2386.83150876801,40.1974342261292,10.6803105780859,1.68413371779551
"Long Branch Creek",53,3945.84891893815,1442.69312806887,3945.84891893815,362.920681951187,36.5623002225109,9.19753111198314
"Lyon Park",9,6058.46187663481,1315.87351052224,6046.84777236203,408.028276569339,21.7195971075936,6.74778482822554
"Lyon Village",26,3914.33294590066,725.387925277959,3907.77430648053,173.592786873602,18.531584699192,4.4422418814137
"Madison Manor",19,1577.67620332884,177.649440730634,1577.67620332884,26.0638445585493,11.2601965064694,1.65204016537459
"Maywood",6,1157.48308232587,271.187270682045,1156.98508475673,25.3177460925373,23.4290483224269,2.18825172650005
"North Highlands",35,2522.92293180849,557.464384306908,2522.92293180849,244.055054267889,22.0959735740839,9.67350414041162
"North Rosslyn",57,2981.6543309693,841.546184141977,2954.44781434762,249.807996064129,28.2241363595088,8.4553192935408
"Old Dominion",5,1137.55717612594,149.669000379146,1137.55717612594,48.5065076719193,13.1570529833813,4.26409403324348
"Old Glebe",14,1344.11124393271,34.3366951690686,1344.10834246413,0.00982907597836772,2.55460218222737,0.000731271108722403
"Penrose",44,4435.76393404041,1490.73607191197,4359.45192998048,292.0852545031,33.6072003397643,6.70004530831948
"Radnor/Ft.Myer Heights",54,12395.4511754435,3403.07075628301,11942.9806943944,943.266549685048,27.4541903164025,7.89808318226437
"Rivercrest",22,232.746970437731,17.0018582927362,231.189045621582,1.86950977937934,7.30486771138655,0.808649810527538
"Riverwood",4,219.711307377643,29.3307195396976,219.711307377643,12.6471909941816,13.3496631965707,5.75627679118187
"Rock Spring",32,2819.05297502894,245.874379412733,2818.96372106291,102.095356609614,8.72187864473204,3.62173361248926
"Shirlington",63,3037.11143051359,619.513321261692,3030.53815023561,52.2475683606495,20.3981096984949,1.72403598867704
"Stafford-Albemarle-Glebe",48,416.45483636629,6.47361869803576,416.45483636629,0.00423082190458219,1.55445876304866,0.00101591374025034
"Tara - Leeway Heights",7,2213.04002158185,248.796860185249,2213.04002158185,71.7584677244692,11.2423118316411,3.24252914654373
"Waverly Hills",15,3087.233253924,616.641111827522,3087.22043495557,221.144809460265,19.9739074151182,7.16323353383893
"Waycroft - Woodlawn",28,2012.96393474815,242.205640852722,1993.25126910564,147.867681389879,12.0322891370145,7.41841651786463
"Westover Village",55,2000.46217054432,501.458814541859,2000.46217054432,66.7596476510997,25.0671480783569,3.33721120219606
"Williamsburg",3,3308.68400809674,546.837292979044,3308.68400809674,31.8929829086556,16.5273350867254,0.963917461764549
"Woodmont",50,789.250083997084,105.359312942307,789.250083997084,45.4089790192191,13.3492938523015,5.753433536459
"Yorktown",24,3474.35609755869,390.100155234053,3474.21196336755,47.7737075662594,11.2279842445673,1.37509478609798
