"geo_id","tot_pop_race","pop_white","pop_black","pop_native","pop_asian","pop_pac_isl","pop_other","pop_two_plus","tot_pop_hisp","pop_not_hisp","pop_white_not_hisp","pop_hisp","tot_pop_income","pop_in_poverty","per_cap_income","pop_nonwhite","pct_white","pct_nonwhite","pct_black","pct_asian","pct_pac_isl","pct_native","pct_other","pct_two_plus","pct_hisp","pct_white_not_hisp","pct_in_poverty"
"510131011002",925,863,36,0,26,0,0,0,925,864,802,61,925,78,69311,62,93.2972972972973,6.70270270270269,3.89189189189189,2.81081081081081,0,0,0,0,6.5945945945946,86.7027027027027,8.43243243243243
"510131011003",1587,1407,0,0,180,0,0,0,1587,1530,1350,57,1587,24,83427,180,88.6578449905482,11.3421550094518,0,11.3421550094518,0,0,0,0,3.59168241965974,85.0661625708885,1.51228733459357
"510131011004",1290,1011,71,0,85,0,51,72,1290,1236,973,54,1290,59,98079,279,78.3720930232558,21.6279069767442,5.50387596899225,6.58914728682171,0,0,3.95348837209302,5.58139534883721,4.18604651162791,75.4263565891473,4.57364341085271
"510131011005",831,677,18,0,22,0,53,61,831,778,677,53,831,27,63613,154,81.468110709988,18.531889290012,2.16606498194946,2.647412755716,0,0,6.37785800240674,7.34055354993983,6.37785800240674,81.468110709988,3.24909747292419
"510131012001",2356,1829,87,0,155,0,240,45,2356,1640,1319,716,2171,313,43699,527,77.6315789473684,22.3684210526316,3.69269949066214,6.57894736842105,0,0,10.1867572156197,1.91001697792869,30.3904923599321,55.9847198641766,14.4173192077384
"510131012002",776,700,0,0,55,0,0,21,776,768,692,8,776,0,64282,76,90.2061855670103,9.79381443298969,0,7.08762886597938,0,0,0,2.70618556701031,1.03092783505155,89.1752577319588,0
"510131012003",905,713,17,0,39,0,49,87,905,777,651,128,905,0,60802,192,78.7845303867403,21.2154696132597,1.87845303867403,4.30939226519337,0,0,5.41436464088398,9.61325966850829,14.1436464088398,71.9337016574586,0
"510131013001",1178,1021,45,0,58,0,0,54,1178,894,760,284,1178,38,60103,157,86.6723259762309,13.3276740237691,3.82003395585739,4.92359932088285,0,0,0,4.58404074702886,24.1086587436333,64.5161290322581,3.2258064516129
"510131013002",1105,709,59,0,13,0,324,0,1105,755,683,350,1105,59,53270,396,64.1628959276018,35.8371040723982,5.3393665158371,1.17647058823529,0,0,29.3212669683258,0,31.6742081447964,61.8099547511312,5.3393665158371
"510131013003",816,704,15,18,16,0,46,17,816,749,671,67,816,0,77618,112,86.2745098039216,13.7254901960784,1.83823529411765,1.96078431372549,0,2.20588235294118,5.63725490196078,2.08333333333333,8.21078431372549,82.2303921568627,0
"510131013004",1418,1245,0,11,105,0,0,57,1418,1218,1045,200,1418,32,86801,173,87.7997179125529,12.2002820874471,0,7.40479548660085,0,0.77574047954866,0,4.0197461212976,14.1043723554302,73.6953455571227,2.25669957686883
"510131013005",1420,1313,0,0,43,0,0,64,1420,1236,1149,184,1420,32,73334,107,92.4647887323944,7.53521126760563,0,3.02816901408451,0,0,0,4.50704225352113,12.9577464788732,80.9154929577465,2.25352112676056
"510131013006",1474,1117,38,0,87,0,156,76,1474,1303,1102,171,1474,0,70640,357,75.7801899592944,24.2198100407056,2.57801899592944,5.90230664857531,0,0,10.5834464043419,5.15603799185889,11.6010854816825,74.7625508819539,0
"510131014011",1454,968,150,0,225,9,42,60,1454,1391,928,63,1454,60,71642,486,66.5749656121045,33.4250343878955,10.3163686382393,15.474552957359,0.61898211829436,0,2.88858321870702,4.12654745529574,4.33287482806052,63.8239339752407,4.12654745529574
"510131014021",503,373,18,0,95,0,0,17,503,450,320,53,503,43,73502,130,74.155069582505,25.844930417495,3.57852882703777,18.8866799204771,0,0,0,3.37972166998012,10.5367793240557,63.6182902584493,8.54870775347912
"510131014022",741,608,25,0,89,0,0,19,741,675,542,66,734,70,97398,133,82.051282051282,17.948717948718,3.37381916329285,12.0107962213225,0,0,0,2.56410256410256,8.90688259109312,73.1443994601889,9.53678474114441
"510131014023",1118,792,17,0,253,0,0,56,1118,1035,709,83,1118,67,109222,326,70.8407871198569,29.1592128801431,1.52057245080501,22.6296958855098,0,0,0,5.00894454382826,7.42397137745975,63.4168157423971,5.99284436493739
"510131014031",1715,1314,91,0,256,0,33,21,1715,1594,1226,121,1687,11,93205,401,76.6180758017493,23.3819241982507,5.30612244897959,14.9271137026239,0,0,1.92419825072886,1.22448979591837,7.05539358600583,71.4868804664723,0.652045050385299
"510131014032",393,162,0,0,215,0,0,16,393,378,147,15,393,15,56821,231,41.2213740458015,58.7786259541985,0,54.70737913486,0,0,0,4.07124681933842,3.81679389312977,37.4045801526718,3.81679389312977
"510131014033",1552,1236,107,0,135,0,16,58,1552,1398,1142,154,1552,139,78793,316,79.6391752577319,20.3608247422681,6.89432989690722,8.69845360824742,0,0,1.03092783505155,3.73711340206186,9.92268041237113,73.5824742268041,8.95618556701031
"510131014034",2342,1781,132,0,326,0,19,84,2342,2181,1708,161,2342,113,92169,561,76.0461144321093,23.9538855678907,5.63620836891546,13.9197267292912,0,0,0.811272416737831,3.5866780529462,6.87446626814688,72.9291204099061,4.82493595217763
"510131014041",5212,3893,179,15,863,0,19,243,5212,4746,3446,466,5211,411,86053,1319,74.6930161166539,25.3069838833461,3.43438219493477,16.5579432079816,0,0.287797390636992,0.364543361473523,4.66231772831926,8.94090560245587,66.1166538756715,7.88716177317214
"510131015001",1839,1421,108,0,250,0,0,60,1839,1751,1354,88,1839,197,58366,418,77.2702555736813,22.7297444263187,5.87275693311582,13.5943447525829,0,0,0,3.2626427406199,4.78520935290919,73.6269711799891,10.7123436650353
"510131015002",1431,1034,19,0,231,0,14,133,1431,1339,956,92,1431,100,99446,397,72.2571628232006,27.7428371767994,1.3277428371768,16.1425576519916,0,0,0.978336827393431,9.2941998602376,6.42907058001398,66.80642907058,6.98812019566737
"510131015003",1344,1112,52,0,95,0,16,69,1344,1285,1053,59,1344,27,129538,232,82.7380952380952,17.2619047619048,3.86904761904762,7.06845238095238,0,0,1.19047619047619,5.13392857142857,4.38988095238095,78.3482142857143,2.00892857142857
"510131015004",1041,947,25,0,29,0,0,40,1041,941,875,100,1041,27,88251,94,90.9702209414025,9.0297790585975,2.40153698366955,2.78578290105668,0,0,0,3.84245917387128,9.60614793467819,84.0537944284342,2.59365994236311
"510131015005",726,701,0,0,0,0,0,25,726,726,701,0,726,11,116710,25,96.5564738292011,3.44352617079889,0,0,0,0,0,3.4435261707989,0,96.5564738292011,1.51515151515152
"510131015006",1448,1121,166,0,109,0,0,52,1448,1078,751,370,1448,85,51988,327,77.4171270718232,22.5828729281768,11.4640883977901,7.52762430939227,0,0,0,3.59116022099448,25.5524861878453,51.8646408839779,5.87016574585635
"510131016011",935,774,19,0,57,0,32,53,935,817,695,118,935,72,100086,161,82.7807486631016,17.2192513368984,2.03208556149733,6.09625668449198,0,0,3.42245989304813,5.66844919786096,12.620320855615,74.331550802139,7.70053475935829
