"civ_name","geo_id","modified","area_m_sq","area_canopy","pct_canopy","area_plantable","pct_plantable","area_open_plantable","pct_open_plantable"
"Rock Spring",32,"FALSE",1685162.88119279,772496.251197685,45.8410436058797,947404.958235492,56.2203789799181,325036.834281827,19.2881553415038
"Shirlington",63,"FALSE",685052.577010376,193193.481459927,28.2012633691619,209610.608355348,30.5977402887973,103489.253768825,15.1067607424325
"Stafford-Albemarle-Glebe",48,"FALSE",381047.367480688,199275.132843564,52.2966827355561,229812.899534807,60.3108482428906,67748.3701669558,17.7795140312548
"Tara - Leeway Heights",7,"FALSE",908491.345862162,453318.430371273,49.897936005221,542271.477467936,59.6892287348449,180682.458380492,19.8881870700731
"Waverly Hills",15,"FALSE",708435.816470496,267497.275624073,37.7588582345785,345587.972338395,48.7818323557033,154311.821269011,21.7820468250475
"Waycroft - Woodlawn",28,"FALSE",635701.754786719,283948.983049196,44.667012622053,319954.088542027,50.3308487247094,133418.931266834,20.9876613147932
"Westover Village",55,"FALSE",615414.620530797,226303.22788632,36.7724815655392,266359.952121797,43.2813818904824,117273.805829873,19.0560643048623
"Williamsburg",3,"FALSE",1361327.81740115,556647.408763992,40.8900341011663,761772.018737487,55.9580145942917,308099.888160358,22.6323067979716
"Woodmont",50,"FALSE",662890.962085283,434811.168888309,65.5931659590751,359602.92330636,54.247673278746,97219.8323307274,14.6660367830177
"Yorktown",24,"FALSE",1481758.00921119,635731.485281235,42.903866982954,778126.376305402,52.5137283867044,278535.956067879,18.797668332912
